RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 19.30;-05 20 08.00; 3.690;      ; 4.019; 0.00;      ;      ;      ;      ;99
05 35 15.19;-05 22 24.11; 3.609;-0.199; 1.135;-0.84; 0.777; 6.508; 0.790; 6.548;99
05 35 05.69;-05 25 06.35; 3.551;-0.363; 0.000;-5.00; 0.385; 6.203; 0.365; 6.140;99
05 35 15.80;-05 33 12.41; 3.585;-0.346; 0.172;-2.12; 0.575; 6.454; 0.600; 6.466;99
05 34 46.40;-05 24 31.87; 3.585;-0.307; 0.402;-2.11; 0.572; 6.399; 0.600; 6.413;97
05 34 50.50;-05 11 10.58; 3.597;-0.326; 0.289;-5.00; 0.673; 6.559; 0.690; 6.567;98
05 35 21.93;-05 14 27.72; 3.542;-0.316; 0.257;-5.00; 0.355; 6.131; 0.320; 5.899;99
05 34 50.73;-05 27 01.09; 3.585;-0.239; 0.825;-1.45; 0.567; 6.306; 0.590; 6.307;99
05 34 52.59;-05 24 03.80; 3.560;-0.383; 0.000;-5.00; 0.423; 6.271; 0.410; 6.226;99
05 35 15.67;-05 25 33.14; 3.597;-0.183; 2.538;-0.22; 0.658; 6.347; 0.690; 6.387;99
05 35 47.48;-05 22 49.47; 3.542;-0.377; 0.000;-5.00; 0.355; 6.180; 0.320; 5.950;99
05 34 26.16;-05 26 30.45; 3.683; 0.291; 4.321;-0.43; 1.567; 6.714; 1.500; 6.672;
05 35 05.33;-05 34 28.58; 3.585;-0.377; 0.132;-5.00; 0.575; 6.500; 0.600; 6.502;99
05 35 52.76;-05 12 59.04; 3.631;-0.183; 1.146;-5.00; 1.025; 6.779; 0.970; 6.760;36
05 34 12.89;-05 28 48.23; 3.609;-0.407; 0.008;-5.00; 0.813; 6.867; 0.780; 6.806;
05 35 20.03;-05 25 37.54; 3.582;-0.192; 1.155;-1.93; 0.540; 6.208; 0.560; 6.207;99
05 35 31.24;-05 23 40.00; 3.662;-0.003; 2.412;-0.76; 1.278; 6.867; 1.207; 6.727;99
05 34 48.82;-05 23 17.92; 3.569;-0.053; 1.923;-1.45; 0.465; 5.989; 0.465; 5.851;99
05 35 30.93;-05 43 05.34; 3.543;-0.396; 0.000;-5.00; 0.355; 6.190; 0.320; 5.971;
05 35 36.45;-05 34 11.20; 3.569;-0.259; 0.885;-1.25; 0.465; 6.186; 0.465; 6.147;98
05 35 32.34;-05 18 07.88; 3.569;-0.164; 1.299;-5.00; 0.468; 6.091; 0.465; 5.961;99
05 35 21.15;-05 25 56.93; 3.577;-0.285; 0.736;-1.51; 0.507; 6.277; 0.525; 6.255;99
05 35 17.22;-05 20 27.78; 3.533;-0.363; 0.192;-1.94; 0.322; 6.145; 0.275; 5.852;99
05 35 22.53;-05 23 43.70; 3.585;-0.327; 0.510;-3.03; 0.572; 6.429; 0.600; 6.439;99
05 34 17.48;-05 31 58.64; 3.543;-0.308; 0.511;-5.00; 0.355; 6.121; 0.320; 5.887;
05 34 55.97;-05 29 26.38; 3.560;-0.345; 0.421;-1.85; 0.425; 6.231; 0.410; 6.203;99
05 35 16.75;-05 23 16.50; 3.746;-1.869; 0.000;-0.01;      ;      ;      ;      ;99
05 35 45.39;-05 28 10.81; 3.569;-0.254; 0.984;-1.42; 0.468; 6.185; 0.470; 6.142;99
05 35 30.91;-05 18 17.99; 3.524;-0.239; 0.856;-5.00; 0.295; 6.023; 0.225; 5.641;99
05 35 15.95;-05 14 59.03; 3.624;-0.180; 1.367;-1.85; 0.957; 6.678; 0.915; 6.690;99
05 35 46.12;-05 10 51.78; 3.609;-0.325; 0.723;-1.17; 0.803; 6.719; 0.785; 6.706;99
05 34 20.75;-05 30 48.70; 3.551;-0.435; 0.000;-5.00; 0.382; 6.268; 0.365; 6.188;
05 35 17.35;-05 25 44.68; 3.569;-0.267; 0.993;-1.40; 0.465; 6.199; 0.465; 6.155;99
05 35 30.41;-05 25 38.52; 3.597;-0.287; 1.239;-0.64; 0.670; 6.509; 0.690; 6.517;99
05 34 23.87;-05 15 40.23; 3.577; 0.161; 3.204;-5.00; 0.498; 5.844; 0.520; 5.652;
05 34 36.09;-05 42 15.17; 3.569;-0.452; 0.000;-5.00; 0.465; 6.418; 0.470; 6.355;
05 35 24.69;-05 24 35.71; 3.585;-0.211; 1.382;-1.19; 0.567; 6.265; 0.590; 6.276;99
05 35 20.39;-05 22 13.69; 3.631;-0.011; 5.772;-0.06; 1.030; 6.508; 1.000; 6.502;99
