RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 33.16;-05 14 10.53; 3.533;-0.327; 1.798;-1.74; 0.325; 6.117; 0.275; 5.806;
05 35 13.60;-05 24 25.73; 3.577;-0.534; 0.832;-5.00; 0.515; 6.619; 0.535; 6.587;98
05 33 56.78;-05 21 33.47; 3.513;-0.621; 0.133;-5.00; 0.255; 6.313; 0.185; 5.882;
05 34 52.77;-05 27 55.20; 3.577;-0.278; 2.435;-0.79; 0.510; 6.273; 0.525; 6.245;99
05 35 03.16;-05 18 30.00; 3.560;-0.569; 0.627;-2.64; 0.417; 6.489; 0.410; 6.393;99
05 34 45.19;-05 10 47.61; 3.533;-0.671; 0.000;-2.47; 0.313; 6.416; 0.275; 6.195; 0
05 35 19.11;-05 23 26.94; 3.597;-0.491; 2.518;-0.22; 0.695; 6.830; 0.685; 6.773;99
05 35 27.20;-05 30 24.71; 3.485;-0.487; 0.662;-2.24; 0.198; 5.577; 0.102; 5.257;
05 35 17.54;-05 40 48.36; 3.528;-0.462; 1.123;-1.68; 0.303; 6.210; 0.250; 5.899;
05 35 33.61;-05 28 50.68; 3.495;-0.530; 0.513;-3.02; 0.215; 6.168; 0.130; 5.406;99
05 35 32.91;-05 16 05.22; 3.624;-0.003; 3.658;-5.00; 0.920; 6.391; 0.935; 6.417;99
05 35 21.03;-05 28 09.11; 3.597;-0.358; 1.861;-1.50; 0.678; 6.612; 0.690; 6.608;98
05 35 28.90;-05 35 06.83; 3.533;-0.652; 0.138;-4.11; 0.315; 6.400; 0.275; 6.175;99
05 35 24.45;-05 26 31.39; 3.515;-0.114; 3.240;-0.72; 0.273; 5.536; 0.183; 5.309;99
05 35 13.80;-05 30 24.44; 3.542;-0.540; 0.840;-1.66; 0.347; 6.329; 0.320; 6.180;99
05 34 50.50;-05 23 35.34; 3.569;-0.644; 0.550;-0.91; 0.463; 6.683; 0.475; 6.637;99
05 35 04.50;-05 26 04.29; 3.533;-0.427; 1.377;-2.56; 0.322; 6.189; 0.275; 5.912;99
05 35 39.65;-05 27 50.26; 3.515;-0.652; 0.121;-5.00; 0.257; 6.338; 0.190; 5.941;99
05 35 15.93;-05 22 21.05; 3.609;-0.302; 2.194;-5.00; 0.798; 6.694; 0.785; 6.681; 0
05 35 02.11;-05 15 37.46; 3.533;-0.704; 0.000;-5.00; 0.313; 6.456; 0.275; 6.223;
05 35 56.72;-05 25 26.33; 3.639;-0.730; 0.000;-5.00; 0.743; 7.685; 0.710; 7.608; 0
05 35 13.46;-05 17 10.35; 3.569;-0.063; 3.489;-2.29; 0.465; 5.998; 0.465; 5.859;99
05 35 28.04;-05 17 20.29; 3.515;-0.536; 0.790;-3.47; 0.265; 6.251; 0.190; 5.814;99
05 34 55.06;-05 25 29.54; 3.533;-0.465; 1.278;-2.15; 0.320; 6.221; 0.275; 5.934;99
05 35 46.62;-05 22 24.25; 3.505;-0.674; 0.000;-5.00; 0.230; 6.346; 0.162; 5.821;99
05 35 18.29;-05 28 46.17; 3.543;-0.459; 1.370;-1.72; 0.352; 6.249; 0.320; 6.112;
05 35 01.49;-05 28 20.72; 3.542;-0.497; 1.192;-1.54; 0.350; 6.289; 0.320; 6.138;99
05 34 09.02;-05 24 05.70; 3.543;-0.719; 0.000;-5.00; 0.343; 6.529; 0.320; 6.338;
05 35 29.85;-05 23 48.40; 3.551;-0.305; 2.868;-0.46; 0.387; 6.143; 0.365; 5.966;99
05 35 30.42;-05 34 38.61; 3.505;-0.509; 0.911;-1.94; 0.240; 6.196; 0.160; 5.605;
05 35 05.76;-05 33 55.89; 3.533;-0.152; 3.411;-0.58; 0.322; 6.019; 0.270; 5.579;99
05 35 21.36;-05 23 45.48; 3.609;-0.442; 1.641;-1.23; 0.813; 6.929; 0.775; 6.839;99
05 35 10.31;-05 21 13.07; 3.609;-0.190; 4.757;-0.17; 0.775; 6.504; 0.790; 6.529;99
05 35 19.06;-05 23 49.68; 3.713;-0.220; 2.705;-5.00; 0.955; 7.564; 0.905; 7.546;99
05 34 31.69;-05 28 26.85; 3.551;-0.603; 0.672;-5.00; 0.380; 6.464; 0.365; 6.310;99
05 35 37.58;-05 27 16.40; 3.624;-0.209; 3.927;-0.29; 0.960; 6.725; 0.910; 6.724;99
05 35 17.35;-05 42 14.61; 3.551;-0.352; 2.650;-0.46; 0.385; 6.191; 0.365; 6.134;
05 35 36.79;-05 37 46.52; 3.515;-0.700; 0.000;-5.00; 0.255; 6.379; 0.190; 6.000;99
05 35 41.32;-05 27 50.39; 3.533;-0.619; 0.869;-0.70; 0.315; 6.362; 0.275; 6.145;99
05 35 56.41;-05 16 31.88; 3.533;-0.720; 0.000;-5.00; 0.310; 6.473; 0.275; 6.239;98
05 35 15.77;-05 32 59.27; 3.569;-0.662; 0.474;-1.70; 0.463; 6.699; 0.475; 6.652;99
05 35 31.79;-05 29 34.09; 3.515;-0.613; 0.534;-1.48; 0.260; 6.309; 0.190; 5.899;99
05 35 25.72;-05 26 41.73; 3.577;-0.475; 1.562;-1.10; 0.515; 6.542; 0.535; 6.513;89
05 34 24.78;-05 22 10.41; 3.569;-0.606; 0.786;-1.59; 0.463; 6.618; 0.475; 6.583;
05 35 26.18;-05 30 18.11; 3.542;-0.383; 2.005;-0.97; 0.355; 6.180; 0.320; 5.950;99
05 35 19.20;-05 22 50.71; 3.591;-0.296; 2.400;-5.00; 0.615; 6.446; 0.640; 6.461;
05 34 03.72;-05 22 18.80; 3.533;-0.661; 0.341;-5.00; 0.313; 6.403; 0.275; 6.185;
05 34 45.88;-05 41 09.68; 3.515;-0.407; 1.583;-2.46; 0.270; 6.029; 0.188; 5.661;
05 35 10.14;-05 22 32.67; 3.553;-0.538; 1.081;-5.00; 0.387; 6.396; 0.375; 6.277;
05 35 05.50;-05 27 52.18; 3.560;-0.540; 1.215;-1.10; 0.420; 6.457; 0.410; 6.351;99
05 35 24.47;-05 11 58.10; 3.509;-0.433; 1.436;-1.99; 0.255; 5.972; 0.170; 5.567;
05 34 59.57;-05 24 00.21; 3.542;-0.533; 1.117;-1.54; 0.350; 6.326; 0.320; 6.171;99
05 35 27.66;-05 42 55.29; 3.522;-0.724; 0.000;-5.00; 0.275; 6.415; 0.220; 6.127;
05 35 13.48;-05 30 48.14; 3.524;-0.641; 0.466;-1.96; 0.287; 6.354; 0.230; 6.051;99
05 35 25.71;-05 23 09.35; 3.597;-0.267; 2.598;-5.00; 0.670; 6.478; 0.690; 6.492;99
05 35 19.79;-05 30 37.60; 3.495;-0.316; 2.034;-1.29; 0.228; 5.475; 0.127; 5.272;
05 34 58.80;-05 21 17.63; 3.639;-0.016; 4.280;-0.66; 1.128; 6.608; 1.055; 6.559;99
05 34 57.45;-05 30 42.05; 3.542;-0.743; 0.021;-5.00; 0.340; 6.562; 0.320; 6.375;99
05 35 13.53;-05 27 28.56; 3.533;-0.418; 1.711;-2.17; 0.322; 6.189; 0.275; 5.904;99
05 35 22.80;-05 31 37.27; 3.551;-0.560; 1.068;-1.66; 0.380; 6.406; 0.365; 6.273;99
05 34 35.94;-05 15 24.06; 3.533;-0.743; 0.000;-5.00; 0.310; 6.501; 0.275; 6.257;99
05 35 18.23;-05 23 15.61; 3.551;-0.761; 0.000;-5.00; 0.370; 6.646; 0.365; 6.529;99
05 34 31.14;-05 21 55.87; 3.569;-0.442; 1.731;-5.00; 0.465; 6.403; 0.470; 6.342;99
05 35 25.68;-05 30 38.11; 3.515;-0.238; 2.730;-1.08; 0.273; 5.813; 0.185; 5.558;99
05 35 15.47;-05 27 22.65; 3.542;-0.390; 1.944;-5.00; 0.355; 6.190; 0.320; 5.956;99
05 35 20.99;-05 16 37.60; 3.624;-0.020; 4.113;-1.02; 0.930; 6.434; 0.935; 6.436;99
05 35 01.17;-05 29 55.22; 3.530;-0.729; 0.122;-5.00; 0.298; 6.460; 0.255; 6.213;
05 35 06.60;-05 26 50.87; 3.505;-0.341; 2.091;-1.26; 0.250; 5.722; 0.157; 5.470;99
05 35 13.62;-05 19 54.86; 3.631; 0.610; 7.295;-5.00; 1.028; 5.745; 1.030; 5.497; 0
05 35 34.70;-05 34 38.18; 3.533;-0.761; 0.000;-5.00; 0.308; 6.518; 0.275; 6.279;99
05 34 41.71;-05 26 52.99; 3.533;-0.651; 0.599;-1.91; 0.315; 6.400; 0.275; 6.175;95
05 35 05.14;-05 20 24.47; 3.544;-0.500; 1.483;-1.47; 0.357; 6.303; 0.330; 6.163;
05 35 09.85;-05 19 33.99; 3.524;-0.006; 4.343;-0.65; 0.292; 5.133; 0.210; 5.151;99
05 35 43.44;-05 40 55.07; 3.553;-0.709; 0.400;-5.00; 0.380; 6.602; 0.375; 6.494;
05 35 29.90;-05 12 10.36; 3.495;-0.716; 0.021;-5.00; 0.198; 6.365; 0.135; 5.699;99
05 35 04.77;-05 17 42.17; 3.639; 0.068; 5.323;-0.39; 1.135; 6.492; 1.090; 6.434;99
05 35 26.30;-05 27 43.88; 3.524;-0.733; 0.148;-5.00; 0.280; 6.438; 0.230; 6.157;99
05 35 24.64;-05 19 09.66; 3.524;-0.260; 2.682;-1.46; 0.295; 6.039; 0.225; 5.658;99
05 34 56.40;-05 38 05.22; 3.495;-0.723; 0.000;-5.00; 0.198; 6.365; 0.132; 5.694;99
05 34 57.24;-05 42 02.77; 3.543;-0.736; 0.243;-5.00; 0.340; 6.547; 0.320; 6.362;
05 35 17.94;-05 25 33.87; 3.537;-0.363; 2.671;-0.56; 0.335; 6.151; 0.295; 5.898;
05 35 04.61;-05 26 22.97; 3.533;-0.338; 2.342;-1.45; 0.325; 6.125; 0.275; 5.818;99
05 34 17.43;-05 30 35.22; 3.537;-0.778; 0.009;-5.00; 0.320; 6.559; 0.295; 6.347;
05 35 30.96;-05 25 43.84; 3.495;-0.420; 1.663;-1.57; 0.222; 5.622; 0.130; 5.366;99
05 34 38.10;-05 27 40.53; 3.533;-0.778; 0.000;-5.00; 0.308; 6.532; 0.280; 6.304;99
05 34 58.90;-05 28 03.30; 3.533;-0.778; 0.000;-5.00; 0.308; 6.532; 0.280; 6.304;99
05 34 40.81;-05 26 38.72; 3.560;-0.657; 0.877;-1.05; 0.415; 6.600; 0.410; 6.520;99
05 35 22.28;-05 35 26.78; 3.495;-0.697; 0.171;-5.00; 0.200; 6.351; 0.132; 5.661;99
05 34 26.51;-05 23 23.94; 3.515;-0.328; 2.364;-1.27; 0.273; 5.913; 0.185; 5.601;
05 35 05.38;-05 24 10.49; 3.585;-0.118; 4.036;-0.61; 0.565; 6.150; 0.580; 6.114;99
05 35 17.68;-05 32 02.42; 3.515;-0.698; 0.356;-2.29; 0.255; 6.379; 0.190; 6.000;99
05 35 29.99;-05 12 27.41; 3.515;-0.142; 3.601;-0.72; 0.273; 5.637; 0.183; 5.379;99
05 35 07.27;-05 22 26.58; 3.533;-0.366; 2.221;-5.00; 0.322; 6.145; 0.275; 5.852;99
05 35 01.30;-05 20 16.90; 3.542;-0.758; 0.221;-5.00; 0.340; 6.577; 0.320; 6.388;96
05 35 10.88;-05 28 00.71; 3.505;-0.686; 0.387;-2.40; 0.228; 6.355; 0.162; 5.841;99
05 34 17.23;-05 29 04.26; 3.505;-0.075; 3.651;-1.48; 0.250; 5.060; 0.157; 5.000;
05 35 35.35;-05 11 11.48; 3.505;-0.706; 0.299;-5.00; 0.225; 6.365; 0.162; 5.901;99
05 35 16.33;-05 15 38.01; 3.577;-0.380; 2.321;-5.00; 0.510; 6.400; 0.530; 6.382;99
05 35 33.32;-05 39 24.91; 3.550;-0.684; 0.682;-1.95; 0.368; 6.541; 0.355; 6.397;
05 35 13.25;-05 27 54.19; 3.551; 0.043; 4.539;-1.46; 0.385; 5.905; 0.365; 5.221;99
05 35 17.52;-05 17 40.13; 3.675; 1.064; 9.905;-5.00; 2.365; 5.811;      ;      ;99
05 35 14.91;-05 36 39.20; 3.524;-0.634; 0.844;-1.84; 0.285; 6.344; 0.230; 6.051;99
05 35 35.15;-05 21 23.70; 3.546;-0.570; 1.548;-0.77; 0.363; 6.388; 0.340; 6.241;
05 35 31.68;-05 30 04.12; 3.476;-0.296; 2.306;-1.50; 0.180; 5.026;      ;      ;99
05 35 03.09;-05 22 37.84; 3.476;-0.090; 3.334;-5.00; 0.183; 4.677;      ;      ;99
05 35 17.44;-05 30 25.40; 3.546;-0.741; 0.392;-2.30; 0.352; 6.575; 0.340; 6.429;
05 33 53.08;-05 35 15.80; 3.507;-0.615; 0.837;-2.80; 0.237; 6.309; 0.168; 5.782;
05 35 15.34;-05 19 02.29; 3.495;-0.756; 0.000;-2.96; 0.195; 6.386; 0.132; 5.753;99
05 34 58.20;-05 11 53.61; 3.495;-0.664; 0.512;-5.00; 0.203; 6.336; 0.132; 5.624;99
05 35 40.08;-05 27 58.93; 3.551;-0.570; 1.387;-1.53; 0.380; 6.420; 0.365; 6.279;64
05 35 18.53;-05 18 20.67; 3.542;-0.721; 0.516;-5.00; 0.340; 6.532; 0.320; 6.338;99
05 35 21.62;-05 34 58.41; 3.543;-0.794; 0.146;-5.00; 0.335; 6.613; 0.320; 6.443;
05 35 36.36;-05 31 37.89; 3.505;-0.592; 1.133;-1.10; 0.235; 6.286; 0.162; 5.716;
05 35 44.17;-05 36 39.81; 3.485;-0.454; 1.591;-2.00; 0.200; 5.517; 0.102; 5.243;99
05 35 21.31;-05 24 11.49; 3.577;-0.702; 0.750;-5.00; 0.515; 6.861; 0.540; 6.833;99
05 34 26.75;-05 41 57.38; 3.535;-0.704; 0.626;-2.38; 0.317; 6.463; 0.285; 6.243;
05 34 37.10;-05 31 08.89; 3.533;-0.230; 3.568;-0.58; 0.325; 6.063; 0.270; 5.690;99
05 35 00.25;-05 18 50.93; 3.585;-0.416; 2.304;-1.52; 0.577; 6.557; 0.600; 6.549;95
05 34 58.28;-05 25 33.25; 3.495;-0.382; 2.086;-1.55; 0.225; 5.561; 0.127; 5.328;99
05 34 27.81;-05 42 10.21; 3.543;-0.814; 0.075;-5.00; 0.335; 6.644; 0.320; 6.470;
05 35 22.44;-05 22 01.11; 3.675;-0.337; 4.766;-0.15; 0.935; 7.450; 0.905; 7.417;99
05 36 00.30;-05 34 23.58; 3.515;-0.806; 0.000;-5.00; 0.245; 6.457; 0.190; 6.129;99
05 35 16.94;-05 25 46.97; 3.542;-0.661; 0.900;-5.00; 0.345; 6.468; 0.320; 6.276;99
05 35 09.69;-05 21 25.03; 3.524;-0.817; 0.000;-2.95; 0.275; 6.516; 0.230; 6.237;99
05 35 13.65;-05 28 46.26; 3.543;-0.271; 3.066;-1.13; 0.355; 6.095; 0.320; 5.843;
05 35 13.30;-05 20 18.99; 3.542;-0.050; 4.123;-5.00; 0.355; 5.960; 0.315; 5.364;
05 34 51.43;-05 13 29.48; 3.495;-0.781; 0.000;-5.00; 0.192; 6.393; 0.132; 5.809;98
05 35 31.20;-05 12 28.06; 3.533;-0.831; 0.000;-5.00; 0.303; 6.596; 0.280; 6.362;99
05 34 50.86;-05 29 25.09; 3.505;-0.744; 0.294;-3.26; 0.222; 6.393; 0.162; 5.957;99
05 35 12.71;-05 16 13.50; 3.533;-0.553; 1.483;-5.00; 0.317; 6.300; 0.275; 6.084;99
05 34 38.22;-05 24 23.73; 3.524;-0.692; 0.833;-1.29; 0.282; 6.401; 0.230; 6.110;99
05 35 18.22;-05 25 35.10; 3.569;-0.868; 0.000;-5.00; 0.455; 6.988; 0.480; 6.955; 0
05 35 02.16;-05 29 09.86; 3.551;-0.587; 1.477;-1.56; 0.380; 6.435; 0.365; 6.296;98
05 35 30.33;-05 27 37.06; 3.533;-0.847; 0.000;-5.00; 0.303; 6.611; 0.280; 6.389;99
05 34 51.80;-05 21 39.07; 3.524;-0.790; 0.262;-2.91; 0.275; 6.490; 0.230; 6.210;99
05 34 52.02;-05 24 18.81; 3.524;-0.669; 0.913;-2.11; 0.285; 6.377; 0.230; 6.086;99
05 34 57.79;-05 22 51.18; 3.533;-0.638; 1.586;-0.58; 0.315; 6.387; 0.275; 6.165;99
05 35 05.07;-05 36 43.87; 3.505;-0.592; 1.224;-1.60; 0.235; 6.286; 0.162; 5.716;99
05 35 07.54;-05 11 14.35; 3.638; 0.050; 5.034;-0.93; 1.130; 6.515; 1.080; 6.465;
05 35 35.62;-05 29 36.51; 3.507;-0.725; 0.532;-1.84; 0.230; 6.380; 0.170; 5.953;
05 34 52.26;-05 12 03.24; 3.533;-0.846; 0.049;-5.00; 0.303; 6.611; 0.280; 6.389;99
05 35 19.60;-05 23 57.22; 3.597;-0.738; 1.089;-0.69; 0.697; 7.248; 0.640; 7.118;99
05 35 22.33;-05 33 55.95; 3.505;-0.637; 1.010;-1.93; 0.233; 6.321; 0.162; 5.773;98
05 35 52.33;-05 12 57.03; 3.515;-0.624; 1.145;-2.12; 0.260; 6.318; 0.190; 5.909;
05 35 25.48;-05 21 35.55; 3.624;-0.366; 3.090;-0.66; 0.933; 6.995; 0.870; 6.912;80
05 34 15.66;-05 32 24.10; 3.543;-0.786; 0.468;-5.00; 0.338; 6.610; 0.320; 6.429;
05 35 15.71;-05 26 28.26; 3.560;-0.460; 2.418;-0.94; 0.420; 6.355; 0.410; 6.274;99
05 35 59.48;-05 37 09.67; 3.507;-0.532; 1.635;-1.88; 0.245; 6.245; 0.168; 5.678;
05 34 42.86;-05 25 16.44; 3.690; 0.097; 5.849;-0.46; 1.317; 7.020; 1.253; 6.963;99
05 35 06.84;-05 10 38.42; 3.495;-0.665; 0.818;-5.00; 0.203; 6.336; 0.132; 5.624;99
05 35 04.82;-05 22 38.79; 3.505;-0.770; 0.369;-2.18; 0.220; 6.403; 0.162; 5.986;99
05 34 13.88;-05 36 35.38; 3.507;-0.683; 0.857;-1.91; 0.233; 6.352; 0.168; 5.901;
05 35 23.66;-05 26 26.99; 3.533;-0.780; 0.515;-1.80; 0.308; 6.532; 0.275; 6.301;99
05 35 20.83;-05 21 30.11; 3.505;-0.647; 1.034;-5.00; 0.230; 6.330; 0.162; 5.787;99
05 34 40.83;-05 28 09.44; 3.495;-0.448; 2.059;-1.42; 0.222; 5.695; 0.130; 5.375;99
05 35 46.83;-05 16 46.84; 3.690;-0.192; 3.810;-1.30; 1.015; 7.379; 0.990; 7.318; 0
05 35 20.41;-05 17 14.49; 3.569;-0.059; 4.472;-1.57; 0.468; 5.997; 0.465; 5.851;99
05 35 49.04;-05 15 37.78; 3.533;-0.885; 0.000;-5.00; 0.298; 6.658; 0.280; 6.443;99
05 34 52.34;-05 30 07.98; 3.515;-0.766; 0.532;-2.28; 0.250; 6.434; 0.190; 6.078;
05 35 12.83;-05 39 07.78; 3.585;-0.563; 1.852;-1.85; 0.585; 6.782; 0.605; 6.770;99
05 35 35.95;-05 38 42.72; 3.520;-0.778; 0.513;-3.41; 0.265; 6.466; 0.210; 6.158;
05 35 57.52;-05 39 51.37; 3.543;-0.677; 1.142;-5.00; 0.345; 6.482; 0.320; 6.289;
05 36 05.21;-05 41 39.34; 3.533;-0.778; 0.593;-2.39; 0.308; 6.532; 0.280; 6.304;
05 34 58.03;-05 17 37.70; 3.585;-0.461; 2.486;-1.24; 0.577; 6.619; 0.600; 6.625;99
05 35 15.75;-05 21 39.91; 3.533;-0.663; 1.244;-1.59; 0.315; 6.413; 0.275; 6.185;99
05 35 01.34;-05 20 22.20; 3.597;-0.232; 3.966;-0.67; 0.665; 6.428; 0.690; 6.453;93
05 34 48.77;-05 19 07.30; 3.515;-0.664; 1.120;-2.71; 0.257; 6.348; 0.190; 5.956;99
05 35 26.73;-05 16 45.15; 3.513;-0.865; 0.056;-5.00; 0.235; 6.506; 0.185; 6.169;
05 35 42.62;-05 26 08.21; 3.485;-0.714; 0.636;-5.00; 0.175; 6.292; 0.105; 5.523;99
05 35 15.39;-05 21 14.02; 3.542;-0.579; 1.715;-5.00; 0.347; 6.368; 0.320; 6.205;98
05 34 07.97;-05 36 17.07; 3.524;-0.313; 3.445;-0.65; 0.295; 6.076; 0.225; 5.694;
05 35 15.49;-05 35 11.93; 3.541;-0.463; 2.434;-1.23; 0.347; 6.245; 0.310; 6.091;
05 35 24.09;-05 21 32.73; 3.533;-0.352; 3.373;-0.58; 0.322; 6.137; 0.275; 5.841;99
05 35 04.67;-05 29 36.14; 3.524;-0.860; 0.194;-2.83; 0.270; 6.556; 0.230; 6.277;99
05 35 44.53;-05 36 33.25; 3.485;-0.633; 1.120;-1.99; 0.183; 6.180; 0.105; 5.321;99
05 33 57.91;-05 36 26.91; 3.533;-0.858; 0.260;-5.00; 0.300; 6.629; 0.280; 6.402;
05 35 54.77;-05 10 55.58; 3.780;-0.239; 3.369;-5.00;      ;      ;      ;      ;73
05 34 29.54;-05 23 43.74; 3.690;      ; 9.071; 0.00;      ;      ;      ;      ; 0
05 35 06.28;-05 22 02.66; 3.639; 0.283; 6.388;-5.00; 1.120; 6.187; 1.155; 6.165;99
05 34 33.72;-05 40 22.76; 3.503;-0.437; 2.387;-1.29; 0.240; 5.836; 0.153; 5.482;
05 35 30.70;-05 18 07.17; 3.553;-0.422; 2.742;-1.28; 0.390; 6.270; 0.375; 6.204;
05 35 16.00;-05 21 47.05; 3.485;-0.831; 0.102;-5.00; 0.165; 6.410; 0.108; 5.689;99
05 35 47.65;-05 37 38.83; 3.476;-0.565; 1.488;-1.52; 0.165; 5.406;      ;      ;99
05 34 35.76;-05 40 09.42; 3.543;-0.657; 1.467;-1.33; 0.345; 6.453; 0.320; 6.266;
05 35 11.77;-05 21 55.52; 3.507;-0.852; 0.213;-5.00; 0.220; 6.473; 0.170; 6.098;
05 35 33.11;-05 17 34.02; 3.507;-0.627; 1.451;-1.53; 0.237; 6.317; 0.168; 5.796;
05 35 07.64;-05 24 00.68; 3.524;-0.507; 2.554;-0.65; 0.290; 6.240; 0.230; 5.896;99
05 35 17.67;-05 23 41.02; 3.478;-0.856; 0.000;-5.00; 0.145; 6.263; 0.100; 5.675;
05 35 21.97;-05 17 04.97; 3.505;-0.585; 1.642;-2.12; 0.235; 6.286; 0.162; 5.716;
05 35 19.29;-05 16 44.77; 3.524;-0.923; 0.040;-1.56; 0.265; 6.625; 0.235; 6.359;99
05 34 35.20;-05 34 32.23; 3.515;-0.409; 2.979;-0.72; 0.270; 6.029; 0.188; 5.661;84
05 34 56.84;-05 21 36.38; 3.609; 0.049; 5.753;-0.57; 0.743; 6.150; 0.785; 6.158;99
05 34 48.96;-05 28 16.94; 3.524;-0.388; 3.226;-0.65; 0.295; 6.138; 0.230; 5.781;99
05 36 07.39;-05 30 27.47; 3.524;-0.507; 2.215;-2.13; 0.290; 6.240; 0.230; 5.896;
05 34 54.40;-05 17 21.17; 3.495;-0.755; 0.700;-2.71; 0.195; 6.379; 0.135; 5.757;99
05 35 33.85;-05 38 20.69; 3.524;-0.846; 0.449;-2.37; 0.273; 6.543; 0.230; 6.267;99
05 35 22.06;-05 28 15.16; 3.569;-0.378; 3.963;-0.36; 0.468; 6.330; 0.470; 6.264;99
05 35 21.72;-05 26 44.28; 3.542;-0.671; 1.561;-1.17; 0.343; 6.471; 0.320; 6.289;98
05 35 12.27;-05 20 45.28; 3.528;-0.324; 3.222;-5.00; 0.305; 6.114; 0.245; 5.736;
05 35 24.60;-05 11 29.61; 3.624; 0.159; 6.493;-0.49; 0.908; 6.174; 0.965; 6.189;99
05 35 23.04;-05 29 41.49; 3.515;-0.687; 1.365;-1.16; 0.255; 6.369; 0.190; 5.985;99
05 35 21.84;-05 22 08.32; 3.551;-0.737; 1.297;-1.07; 0.373; 6.627; 0.365; 6.501;99
05 34 52.92;-05 28 59.09; 3.524;-0.671; 1.796;-0.65; 0.285; 6.377; 0.230; 6.086;99
05 35 15.95;-05 16 57.53; 3.532;-0.334; 3.215;-2.45; 0.317; 6.122; 0.265; 5.800;
05 34 21.23;-05 35 34.80; 3.507;-0.801; 0.634;-2.29; 0.225; 6.430; 0.170; 6.048;
05 35 11.21;-05 17 20.98; 3.569;-0.088; 5.307;-0.45; 0.465; 6.018; 0.465; 5.878;99
05 35 08.30;-05 24 34.92; 3.503;-0.520; 2.189;-1.13; 0.235; 6.220; 0.153; 5.566;
05 35 48.73;-05 19 27.45; 3.524;-0.752; 1.021;-1.90; 0.278; 6.451; 0.230; 6.181;99
05 34 35.70;-05 29 51.97; 3.515;-0.918; 0.082;-5.00; 0.235; 6.556; 0.192; 6.246;99
05 35 13.57;-05 27 57.24; 3.507;-0.555; 2.000;-1.33; 0.243; 6.259; 0.168; 5.704;
05 35 04.61;-05 24 42.46; 3.551;-0.535; 2.270;-5.00; 0.380; 6.378; 0.365; 6.261;99
05 34 51.21;-05 16 54.86; 3.533;-0.348; 3.236;-1.46; 0.325; 6.133; 0.275; 5.830;99
05 35 17.36;-05 20 14.93; 3.577;-0.537; 2.378;-1.48; 0.512; 6.623; 0.535; 6.601;97
05 35 13.83;-05 27 36.85; 3.515;-0.518; 2.264;-1.40; 0.265; 6.241; 0.190; 5.801;99
05 35 55.46;-05 13 55.72; 3.914; 0.251; 5.143;-5.00;      ;      ;      ;      ;80
05 35 38.35;-05 28 34.67; 3.524;-0.717; 1.226;-2.15; 0.282; 6.425; 0.230; 6.145;99
05 34 35.68;-05 35 52.15; 3.537;-0.896; 0.340;-5.00; 0.308; 6.693; 0.295; 6.494;
05 35 15.59;-05 34 46.72; 3.495;-0.396; 2.757;-1.36; 0.225; 5.584; 0.130; 5.354;99
05 35 11.66;-05 31 01.13; 3.507;-0.529; 2.261;-1.05; 0.245; 6.231; 0.168; 5.678;
05 35 17.15;-05 41 53.88; 3.505;-0.703; 1.221;-1.63; 0.228; 6.364; 0.162; 5.901;
05 35 23.31;-05 28 10.09; 3.524;-0.612; 1.802;-2.18; 0.287; 6.321; 0.230; 6.026;99
05 35 15.95;-05 41 11.48; 3.509;-0.788; 0.830;-1.49; 0.230; 6.429; 0.175; 6.046;
05 35 50.19;-05 21 16.92; 3.533;-0.713; 1.374;-1.41; 0.310; 6.460; 0.275; 6.231;99
05 35 10.57;-05 33 13.65; 3.495;-0.550; 1.931;-1.86; 0.213; 6.231; 0.130; 5.415;99
05 34 50.99;-05 17 56.49; 3.485;-0.888; 0.075;-5.00; 0.160; 6.442; 0.105; 5.845;99
05 35 21.62;-05 26 57.55; 3.507;-0.303; 3.605;-0.79; 0.255; 5.729; 0.162; 5.475;
05 34 20.80;-05 23 29.16; 3.524;-0.841; 0.650;-1.63; 0.273; 6.543; 0.230; 6.257;
05 34 46.56;-05 23 25.60; 3.551;-0.394; 3.762;-0.46; 0.385; 6.227; 0.365; 6.161;99
05 35 18.95;-05 22 18.74; 3.609;-0.591; 2.135;-5.00; 0.800; 7.172; 0.750; 7.115;
05 35 10.74;-05 26 27.99; 3.524;-0.683; 1.880;-0.65; 0.282; 6.390; 0.230; 6.098;99
05 34 58.25;-05 41 49.82; 3.577;-0.228; 4.179;-1.04; 0.512; 6.217; 0.525; 6.184;
05 35 46.24;-05 15 39.82; 3.551;-0.427; 3.034;-1.27; 0.385; 6.264; 0.365; 6.188;99
05 35 11.17;-05 19 35.87; 3.513;-0.589; 1.922;-5.00; 0.257; 6.294; 0.185; 5.852;
05 35 17.00;-05 15 44.30; 3.513;-0.330; 3.317;-1.78; 0.268; 5.865; 0.180; 5.577;
05 34 14.88;-05 14 18.38; 3.542;-0.845; 0.768;-2.08; 0.333; 6.677; 0.320; 6.511;
05 35 25.22;-05 29 51.60; 3.509;-0.774; 0.970;-1.79; 0.233; 6.418; 0.175; 6.033;
05 35 07.95;-05 21 17.27; 3.524;-0.916; 0.428;-1.12; 0.265; 6.611; 0.235; 6.346;99
